Brand,Bike Model,Model Year,Price (Rs),City,State,Brand_Origin,Model_Type,Finance_Available(Yes/No)
Honda,Honda Shine 125 Drum OBD2,2024,95000,Pune, Maharashtra,Japan,Commuter,Yes
Aprilia,Aprilia Storm 125,2021,60000,Mumbai, Maharashtra,Italy,Commuter,Yes
Honda,Honda Shine 125 Drum,2023,81000,Bokaro, Jharkhand,Japan,Commuter,Yes
Yezdi,Yezdi Roadster Dark,2023,165000,Hyderabad, Telangana,India,Cruiser,Yes
Aprilia,Aprilia SR 150,2018,61000,East Delhi, Delhi,Italy,Commuter,Yes
Suzuki,Suzuki Lets 110,2014,17000,Visakhapatnam, Andhra Pradesh,Japan,Commuter,Yes
Yamaha,Yamaha R15 V4,2023,185000,Krishna, Andhra Pradesh,Japan,Sports,Yes
Hero Cycles,Bicycle Decathlon,2020,4000,Bangalore, Karnataka,India,Commuter,No
Bajaj,Bajaj Avenger Cruise 220 BS6,2017,65000,Mumbai, Maharashtra,India,Cruiser,Yes
TVS,TVS Wego,2017,38000,Pune, Maharashtra,India,Commuter,Yes
Bajaj,Bajaj Freedom 125 NG04 Disc LED,2025,110000,Gwalior, Madhya Pradesh,India,Commuter,Yes
TVS,TVS Apache RTR 180,2010,25000,Hyderabad, Telangana,India,Commuter,Yes
KTM,KTM RC 200 GP,2023,155000,New Delhi, Delhi,Austria,Sports,Yes
Bajaj,Bajaj Dominar 400 2025,2025,200000,Mumbai, Maharashtra,India,Commuter,Yes
Ola Electric,Ola S1X Plus,2024,60000,Bangalore, Karnataka,India,Electric,Yes
Bajaj,Bajaj Pulsar NS 160,2019,60000,Noida, Uttar Pradesh,India,Commuter,Yes
Hero Cycles,Bicycle Hercules,2015,10000,Pune, Maharashtra,India,Sports,No
BMW,BMW G 310 R,2021,225000,Pune, Maharashtra,Germany,Commuter,Yes
Mach City,Mach City Munich 21 Speed,2019,8000,Bangalore, Karnataka,India,Sports,Yes
KTM,KTM Duke 390,2022,260000,Bangalore, Karnataka,Austria,Sports,Yes
Honda,Honda CBR 250R,2016,60000,Khordha, Orissa,Japan,Commuter,Yes
Hero Cycles,Bicycle Keysto,2022,16000,Bangalore, Karnataka,India,Commuter,No
Bajaj,Bajaj Pulsar 150 DTSi,2022,85000,Palakkad, Kerala,India,Commuter,Yes
Jawa,Jawa Jawa BS6,2019,140000,Hyderabad, Telangana,Czech Republic,Commuter,Yes
TVS,TVS Apache RTR 200 4V,2016,60000,Bangalore, Karnataka,India,Commuter,Yes
Royal Enfield,Royal Enfield Himalayan 452,2024,325000,Gurgaon, Haryana,India,Adventure,Yes
Yamaha,Yamaha FZ-S FI V3,2021,95000,Surat, Gujarat,Japan,Commuter,Yes
Royal Enfield,Royal Enfield Classic 350,2017,90000,West Delhi, Delhi,India,Cruiser,Yes
Honda,Honda CB Hornet 160R,2017,47000,Mumbai, Maharashtra,Japan,Commuter,Yes
TVS,TVS XL 100 Heavy Duty i-TOUCHstart,2022,45000,Chennai, Tamil Nadu,India,Commuter,Yes
Royal Enfield,Royal Enfield Meteor 350,2021,195000,Hyderabad, Telangana,India,Cruiser,Yes
Honda,Honda Rebel 500,2025,635000,Bangalore, Karnataka,Japan,Commuter,Yes
Royal Enfield,Royal Enfield Himalayan 450,2024,295000,Tirupur, Tamil Nadu,India,Adventure,Yes
Jawa,Jawa 42 Dual Channel ABS Orion Red,2020,110000,Chennai, Tamil Nadu,Czech Republic,Commuter,Yes
Bajaj,Bajaj Dominar 400 ABS BS6,2017,90000,North West Delhi, Delhi,India,Commuter,Yes
Honda,Honda Hness Anniversary Edition,2022,190000,Bangalore, Karnataka,Japan,Sports,Yes
Ampere Electric,Ampere Reo,2020,30000,Chennai, Tamil Nadu,India,Commuter,Yes
Royal Enfield,Royal Enfield Meteor 350 Stellar 2025,2023,214000,Nagpur, Maharashtra,India,Cruiser,Yes
TVS,TVS Apache RTR 160 4V Special Edition,2023,100000,Thane, Maharashtra,India,Commuter,Yes
Honda,Honda Activa 125,2017,35000,Noida, Uttar Pradesh,Japan,Scooter,Yes
Bajaj,Bajaj Pulsar 220F BS6,2023,145000,Hyderabad, Telangana,India,Commuter,Yes
Bajaj,Bajaj Chetak Electric,2025,95000,Pune, Maharashtra,India,Electric,Yes
Honda,Honda Activa 5G,2019,55000,Bangalore, Karnataka,Japan,Scooter,Yes
Yamaha,Yamaha FZ16,2014,30000,Jaipur, Rajasthan,Japan,Commuter,Yes
Ather Energy,Ather 450,2020,55000,Chennai, Tamil Nadu,India,Commuter,Yes
Bajaj,Bajaj Dominar 400 ABS BS6,2017,100000,Pune, Maharashtra,India,Commuter,Yes
Royal Enfield,Royal Enfield Thunderbird 350,2014,80000,Bhubaneshwar, Orissa,India,Commuter,Yes
Jawa,Jawa 42 Dual Channel ABS AllStar Black,2021,150000,Thane, Maharashtra,Czech Republic,Commuter,Yes
Hero,Hero Xtreme 125R,2025,89999,Bangalore, Karnataka,India,Commuter,Yes
Zelio,Zelio Legender Plus,2025,50000,Bhavnagar, Gujarat,India,Commuter,Yes
TVS,TVS Ronin SS,2024,120000,Mumbai, Maharashtra,India,Adventure,Yes
Hero,Hero Splendor Plus Xtec,2023,65000,Mumbai, Maharashtra,India,Commuter,Yes
TVS,TVS NTORQ 125,2020,45000,Navi Mumbai, Maharashtra,India,Scooter,Yes
Honda,Honda Activa 5G,2018,52000,Pune, Maharashtra,Japan,Scooter,Yes
Hero,Hero Maestro,2013,38000,Hyderabad, Telangana,India,Scooter,Yes
Suzuki,Suzuki Intruder 150 FI,2022,85000,Bangalore, Karnataka,Japan,Commuter,Yes
Bajaj,Bajaj Pulsar NS200,2023,110000,Chennai, Tamil Nadu,India,Commuter,Yes
Hero,Hero Xtreme 200S,2019,50000,Ghaziabad, Uttar Pradesh,India,Commuter,Yes
Yamaha,Yamaha FZ-S FI V3,2019,85000,Mumbai, Maharashtra,Japan,Commuter,Yes
KTM,KTM Duke 200 ABS,2023,175000,Mumbai, Maharashtra,Austria,Sports,Yes
Bajaj,Bajaj Platina 100 ES,2020,55000,Pimpri-Chinchwad, Maharashtra,India,Commuter,Yes
Hero,Hero Maestro Edge,2018,30000,Mirzapur, Uttar Pradesh,India,Scooter,Yes
TVS,TVS Apache RTR 200 4V 2020,2020,80000,Hyderabad, Telangana,India,Commuter,Yes
Bajaj,Bajaj Pulsar 220F,2016,55000,New Delhi, Delhi,India,Commuter,Yes
Ola Electric,Ola S1 Air 2kWh,2023,110000,Bangalore, Karnataka,India,Electric,Yes
Hero,Hero Pleasure,2017,30000,Patna, Bihar,India,Scooter,Yes
Jawa,Jawa forty two,2020,100000,Bangalore, Karnataka,Czech Republic,Commuter,Yes
TVS,TVS Apache RTR 160,2016,65000,Pune, Maharashtra,India,Commuter,Yes
TVS,TVS Raider SX,2024,90000,Ambedkar Nagar, Uttar Pradesh,India,Commuter,Yes
Yamaha,Yamaha FZ-S FI V3 BS6,2021,55000,Jaipur, Rajasthan,Japan,Commuter,Yes
Royal Enfield,Royal Enfield Classic 350 Dual Channel BS6,2021,170000,Jaunpur, Uttar Pradesh,India,Cruiser,Yes
Aprilia,Aprilia SR 160 Std ABS,2021,80500,Kolkata, West Bengal,Italy,Commuter,Yes
Bajaj,Bajaj Dominar 400,2017,140000,Medak, Telangana,India,Commuter,Yes
Harley,Harley Davidson Street 750,2020,400000,Vadodara, Gujarat,USA,Commuter,Yes
Yezdi,Yezdi Roadster Dual Tone,2023,180000,Pune, Maharashtra,India,Cruiser,Yes
Suzuki,Suzuki Gixxer 150,2025,155000,Bangalore, Karnataka,Japan,Commuter,Yes
Bajaj,Bajaj Discover 125 ST,2012,20000,Chengalpattu, Tamil Nadu,India,Commuter,Yes
Bajaj,Bajaj Pulsar RS 200 ABS,2023,150000,Pune, Maharashtra,India,Sports,Yes
Royal Enfield,Royal Enfield Classic 350 BS VI,2018,145000,Gurgaon, Haryana,India,Cruiser,Yes
Ather Energy,Ather 450X,2022,100000,Mumbai, Maharashtra,India,Commuter,Yes
TVS,TVS Apache RTR 200 4V ABS Race Edition 2.0,2021,100000,Thane, Maharashtra,India,Sports,Yes
Hero,Hero Splendor iSmart 110,2017,26000,Kozhikode, Kerala,India,Commuter,Yes
Yamaha,Yamaha FZ-S FI Hybrid,2025,155000,Mumbai, Maharashtra,Japan,Commuter,Yes
TVS,TVS Raider 125,2022,65000,Chennai, Tamil Nadu,India,Commuter,Yes
Bajaj,Bajaj Pulsar 150 DTSi,2008,25000,Pune, Maharashtra,India,Commuter,Yes
